Rotation,AP,AP50,AP75
0,0.005607997260737178,0.018356570545422442,2.2787088835465826e-05
90,7.241937313342583e-07,2.499082524328256e-06,0.0
180,1.3860561019531757e-05,9.570598182528552e-05,0.0
270,6.535367070698593e-07,2.317902507768856e-06,0.0
